*2010,1/2/2011,,,,,
1,1,Chris Kirk,75,69.05,5179,75
2,2,David Mathis,75,69.23,5192,75
3,3,Roberto Castro,40,69.25,2770,40
4,4,Daniel Summerhays,83,69.28,5750,83
5,5,Jamie Lovemark,75,69.41,5206,75
6,6,Tommy Gainey,91,69.46,6321,91
7,7,Tag Ridings,96,69.47,6669,96
8,8,Jeff Curl,46,69.48,3196,46
9,9,Hunter Haas,80,69.49,5559,80
10,10,Brandt Jobe,70,69.5,4865,70
11,11,Jhonattan Vegas,76,69.53,5284,76
12,12,Scott Gutschewski,80,69.56,5565,80
13,13,Kevin Chappell,75,69.59,5219,75
14,14,William McGirt,80,69.71,5577,80
15,15,Fabian Gomez,93,69.78,6490,93
16,16,Michael Putnam,77,69.79,5374,77
T17,T17,Gavin Coles,79,69.85,5518,79
T17,T17,Doug LaBelle II,92,69.85,6426,92
T17,T17,Brendan Steele,89,69.85,6217,89
T20,T20,Kent Jones,44,69.86,3074,44
T20,T20,Brian Smock,83,69.86,5798,83
22,22,David Hearn,82,69.88,5730,82
T23,T23,Matt Davidson,47,69.91,3286,47
T23,T23,Colt Knost,82,69.91,5733,82
25,25,Peter Tomasulo,71,69.94,4966,71
26,26,Andrew Svoboda,94,69.96,6576,94
T27,T27,Camilo Benedetti,68,70,4760,68
T27,T27,Kevin Kisner,85,70,5950,85
T27,T27,Jon Mills,84,70,5880,84
30,30,Jonas Blixt,79,70.03,5532,79
31,31,Zack Miller,76,70.04,5323,76
T32,T32,James Hahn,92,70.07,6446,92
T32,T32,Chris Nallen,87,70.07,6096,87
T32,T32,Rob Oppenheim,87,70.07,6096,87
35,35,Scott Sterling,74,70.08,5186,74
36,36,Scott Gardiner,89,70.13,6242,89
T37,T37,Martin Piller,78,70.17,5473,78
T37,T37,Ron Whittaker,64,70.17,4491,64
39,39,D.J. Brigman,81,70.19,5685,81
40,40,Jim Herman,79,70.2,5546,79
T41,T41,Scott Brown,72,70.21,5055,72
T41,T41,John Riegger,66,70.21,4634,66
T43,T43,Keegan Bradley,93,70.22,6530,93
T43,T43,David Branshaw,76,70.22,5337,76
T43,T43,Marco Dawson,46,70.22,3230,46
T46,T46,Paul Claxton,91,70.23,6391,91
T46,T46,Scott Dunlap,82,70.23,5759,82
48,48,Nate Smith,87,70.24,6111,87
49,49,Kyle Thompson,72,70.26,5059,72
50,50,Ryan Armour,86,70.28,6044,86
51,51,Adam Meyer,65,70.29,4569,65
T52,T52,Steven Bowditch,70,70.3,4921,70
T52,T52,Bobby Gates,71,70.3,4991,71
T52,T52,Kyle Stanley,83,70.3,5835,83
T55,T55,Joe Affrunti,82,70.32,5766,82
T55,T55,Scott Stallings,94,70.32,6610,94
T57,T57,Travis Bertoni,67,70.33,4712,67
T57,T57,Frank Lickliter II,58,70.33,4079,58
T57,T57,Tjaart van der Walt,52,70.33,3657,52
T60,T60,J.J. Killeen,87,70.34,6120,87
T60,T60,Dicky Pride,62,70.34,4361,62
62,62,Gary Christian,66,70.35,4643,66
63,63,Andrew Buckle,82,70.39,5772,82
64,64,Jason Gore,65,70.4,4576,65
T65,T65,Justin Hicks,96,70.43,6761,96
T65,T65,Luke List,80,70.43,5634,80
T65,T65,Gary Woodland,46,70.43,3240,46
68,68,Patrick Sheehan,82,70.44,5776,82
T69,T69,Adam Bland,79,70.47,5567,79
T69,T69,Jonathan Kaye,43,70.47,3030,43
T71,T71,Jeff Brehaut,94,70.51,6628,94
T71,T71,Brad Elder,73,70.51,5147,73
T73,T73,Jason Enloe,66,70.52,4654,66
T73,T73,Chris Kamin,42,70.52,2962,42
75,75,Alistair Presnell,85,70.55,5997,85
T76,T76,Ken Duke,66,70.56,4657,66
T76,T76,Jin Park,75,70.56,5292,75
T78,T78,Won Joon Lee,85,70.59,6000,85
T78,T78,Justin Peters,75,70.59,5294,75
80,80,Bob May,70,70.6,4942,70
T81,T81,Craig Barlow,45,70.64,3179,45
T81,T81,John Kimbell,67,70.64,4733,67
83,83,Bradley Iles,85,70.72,6011,85
84,84,Dave Schultz,73,70.74,5164,73
85,85,Casey Wittenberg,79,70.75,5589,79
86,86,Stephen Leaney,39,70.77,2760,39
87,87,Josh Broadaway,67,70.79,4743,67
88,88,Mark Anderson,85,70.8,6018,85
89,89,Esteban Toledo,64,70.81,4532,64
90,90,Michael Clark II,45,70.82,3187,45
91,91,Geoffrey Sisk,72,70.85,5101,72
T92,T92,David McKenzie,56,70.86,3968,56
T92,T92,Trevor Murphy,79,70.86,5598,79
T92,T92,B.J. Staten,73,70.86,5173,73
95,95,Darron Stiles,77,70.88,5458,77
96,96,Ty Harris,72,70.9,5105,72
97,97,Justin Smith,65,70.94,4611,65
98,98,Barrett Jarosch,71,71.03,5043,71
99,99,Brad Adamonis,38,71.05,2700,38
100,100,Dustin Risdon,43,71.07,3056,43
T101,T101,Miguel Angel Carballo,74,71.08,5260,74
T101,T101,Mark Hensby,39,71.08,2772,39
T101,T101,Madalitso Muthiya,36,71.08,2559,36
104,104,Bubba Dickerson,76,71.09,5403,76
105,105,Rick Price,50,71.1,3555,50
106,106,Brice Garnett,36,71.11,2560,36
T107,T107,Nick Flanagan,69,71.14,4909,69
T107,T107,Garrett Osborn,65,71.14,4624,65
109,109,Todd Fischer,58,71.19,4129,58
110,110,Aaron Watkins,70,71.21,4985,70
111,111,Brady Schnell,49,71.22,3490,49
112,112,Jesse Hutchins,48,71.23,3419,48
113,113,Jeff Gallagher,63,71.27,4490,63
114,114,Bronson La'Cassie,66,71.35,4709,66
115,115,Jay Delsing,38,71.37,2712,38
116,116,Brian Bateman,52,71.4,3713,52
T117,T117,Todd Demsey,43,71.44,3072,43
T117,T117,Sal Spallone,61,71.44,4358,61
119,119,Steve Pate,56,71.45,4001,56
120,120,Kyle Reifers,67,71.48,4789,67
121,121,Kelly Grunewald,68,71.5,4862,68
122,122,Stephen Poole,68,71.57,4867,68
123,123,Brian Vranesh,71,71.59,5083,71
124,124,John Douma,39,71.69,2796,39
125,125,Ted Brown,67,71.78,4809,67
126,126,Bryan DeCorso,61,71.95,4389,61
127,127,Dan Buchner,47,71.96,3382,47
128,128,Ewan Porter,53,72.08,3820,53
129,129,Diego Vanegas,47,72.11,3389,47
130,130,Matthew Borchert,70,72.19,5053,70
131,131,Phil Tataurangi,55,72.2,3971,55
132,132,Jess Daley,48,72.25,3468,48
133,133,Daniel Barbetti,37,72.35,2677,37
134,134,Julien Trudeau,41,72.39,2968,41
135,135,Steven Alker,42,72.48,3044,42
136,136,Leif Olson,42,72.71,3054,42
137,137,Bobby MacWhinnie,53,72.79,3858,53
138,138,Ryan Hietala,41,73.44,3011,41
*2009,1/4/2010,,,,,
1, -,Michael Sim,52,68.81,3578,
2, -,Tom Gillis,56,69.04,3866,
3, -,Blake Adams,74,69.27,5126,
T4, -,Chad Collins,86,69.51,5978,
T4, -,Cameron Percy,77,69.51,5352,
T4, -,Garrett Willis,61,69.51,4240,
7, -,Chris Tidland,74,69.54,5146,
8, -,Derek Lamely,59,69.61,4107,
9, -,Justin Bolli,76,69.63,5292,
10, -,Roger Tambellini,76,69.71,5298,
11, -,Patrick Sheehan,44,69.75,3069,
12, -,Chris Baryla,54,69.87,3773,
13, -,Scott Gardiner,84,69.88,5870,
14, -,Craig Bowden,81,69.9,5662,
15, -,Esteban Toledo,78,69.97,5458,
16, -,Henrik Bjornstad,97,70.03,6793,
17, -,Craig Barlow,48,70.08,3364,
18, -,Garth Mulroy,81,70.12,5680,
19, -,Jeff Gove,92,70.15,6454,
20, -,B.J. Staten,49,70.16,3438,
21, -,David McKenzie,86,70.17,6035,
22, -,Josh Teater,87,70.18,6106,
23, -,Alex Prugh,80,70.21,5617,
24, -,Adam Bland,67,70.22,4705,
25, -,Dustin Risdon,88,70.24,6181,
26, -,Oskar Bergman,59,70.27,4146,
27, -,Dave Schultz,56,70.3,3937,
28, -,Steve Wheatcroft,84,70.31,5906,
T29, -,Marco Dawson,65,70.32,4571,
T29, -,Jhonattan Vegas,56,70.32,3938,
31, -,David Branshaw,86,70.33,6048,
32, -,Hunter Haas,80,70.34,5627,
33, -,Sal Spallone,57,70.35,4010,
34, -,Brian Stuard,95,70.37,6685,
T35, -,Brian Smock,66,70.38,4645,
T35, -,Brendan Steele,55,70.38,3871,
37, -,Tommy Gainey,48,70.42,3380,
T38, -,Bob May,97,70.43,6832,
T38, -,Omar Uresti,47,70.43,3310,
40, -,Tjaart van der Walt,58,70.45,4086,
T41, -,Gavin Coles,83,70.48,5850,
T41, -,Fabian Gomez,60,70.48,4229,
T41, -,Scott Parel,44,70.48,3101,
44, -,Gary Christian,67,70.49,4723,
45, -,Jonas Blixt,79,70.54,5573,
T46, -,Todd Demsey,80,70.55,5644,
T46, -,Troy Merritt,58,70.55,4092,
T48, -,Camilo Benedetti,54,70.57,3811,
T48, -,Martin Piller,88,70.57,6210,
T50, -,Andrew Buckle,92,70.58,6493,
T50, -,Jeff Gallagher,78,70.58,5505,
T52, -,Ryan Armour,78,70.6,5507,
T52, -,Jon Mills,82,70.6,5789,
54, -,Jim Rutledge,62,70.63,4379,
55, -,Jay Delsing,50,70.64,3532,
56, -,Bradley Iles,65,70.65,4592,
57, -,Brent Delahoussaye,47,70.68,3322,
T58, -,David Hearn,52,70.69,3676,
T58, -,Michael Sims,75,70.69,5302,
T60, -,Matt Every,84,70.7,5939,
T60, -,J.J. Killeen,84,70.7,5939,
62, -,Joe Daley,74,70.74,5235,
63, -,Kevin Johnson,80,70.75,5660,
T64, -,Brad Elder,55,70.76,3892,
T64, -,Brad Fritsch,49,70.76,3467,
