*2010,1/3/2011,,,,
1,1,Chris Kirk,69,2967,43
2,2,David Mathis,69.02,3244,47
3,3,Roberto Castro,69.17,1660,24
4,4,Michael Putnam,69.24,3116,45
5,5,Jeff Curl,69.32,1941,28
6,6,Jamie Lovemark,69.44,3125,45
7,7,Fabian Gomez,69.46,3612,52
T8,T8,David Hearn,69.49,3544,51
T8,T8,William McGirt,69.49,3266,47
T8,T8,Peter Tomasulo,69.49,2849,41
11,11,Gavin Coles,69.54,3199,46
12,12,Tag Ridings,69.58,3827,55
13,13,Daniel Summerhays,69.6,3689,53
14,14,Hunter Haas,69.62,3272,47
T15,T15,Scott Gutschewski,69.65,3622,52
T15,T15,Brian Smock,69.65,3413,49
17,17,Jhonattan Vegas,69.72,3277,47
18,18,Jon Mills,69.73,3556,51
19,19,Tommy Gainey,69.76,3837,55
20,20,Chris Nallen,69.77,3698,53
T21,T21,Kevin Chappell,69.8,3420,49
T21,T21,Doug LaBelle II,69.8,3839,55
23,23,Kevin Kisner,69.81,3700,53
T24,T24,John Riegger,69.86,3004,43
T24,T24,Andrew Svoboda,69.86,4122,59
T26,T26,Ryan Armour,69.89,3984,57
T26,T26,James Hahn,69.89,3984,57
T26,T26,Justin Hicks,69.89,3984,57
29,29,Keegan Bradley,69.91,3985,57
30,30,Brandt Jobe,69.94,3287,47
T31,T31,Paul Claxton,69.96,3848,55
T31,T31,Scott Gardiner,69.96,3988,57
33,33,Matt Davidson,70,2030,29
T34,T34,Camilo Benedetti,70.02,3011,43
T34,T34,Jonas Blixt,70.02,3711,53
36,36,Scott Dunlap,70.08,3644,52
37,37,Jim Herman,70.1,3575,51
T38,T38,Adam Bland,70.13,3717,53
T38,T38,Jeff Brehaut,70.13,3857,55
T40,T40,Rob Oppenheim,70.14,3998,57
T40,T40,Martin Piller,70.14,3437,49
T40,T40,Scott Stallings,70.14,3998,57
43,43,Brendan Steele,70.17,3719,53
44,44,Steven Bowditch,70.18,3158,45
45,45,Colt Knost,70.19,3650,52
T46,T46,David Branshaw,70.2,3510,50
T46,T46,Andrew Buckle,70.2,3861,55
T46,T46,Kent Jones,70.2,2106,30
T49,T49,B.J. Staten,70.21,3370,48
T49,T49,Gary Woodland,70.21,1966,28
51,51,Marco Dawson,70.23,2107,30
52,52,D.J. Brigman,70.24,3582,51
53,53,Justin Peters,70.26,3302,47
T54,T54,Kyle Thompson,70.27,3443,49
T54,T54,Ron Whittaker,70.27,3162,45
56,56,Scott Brown,70.28,3303,47
T57,T57,Travis Bertoni,70.29,2882,41
T57,T57,Scott Sterling,70.29,3444,49
59,59,Jonathan Kaye,70.3,2109,30
60,60,J.J. Killeen,70.32,3938,56
61,61,Bobby Gates,70.33,3165,45
62,62,Frank Lickliter II,70.36,2955,42
63,63,Jason Gore,70.37,2885,41
64,64,Zack Miller,70.38,3519,50
65,65,Dave Schultz,70.39,3590,51
T66,T66,Joe Affrunti,70.42,3732,53
T66,T66,Ken Duke,70.42,3169,45
T66,T66,Bradley Iles,70.42,3873,55
T66,T66,Kyle Stanley,70.42,3732,53
70,70,Craig Barlow,70.43,2113,30
71,71,Alistair Presnell,70.49,3877,55
72,72,Chris Kamin,70.5,1974,28
T73,T73,Bob May,70.51,3596,51
T73,T73,Darron Stiles,70.51,3596,51
75,75,Adam Meyer,70.53,3315,47
T76,T76,Brad Adamonis,70.55,2046,29
T76,T76,Luke List,70.55,3739,53
78,78,Mark Anderson,70.57,3740,53
T79,T79,Josh Broadaway,70.59,3459,49
T79,T79,Todd Demsey,70.59,2047,29
81,81,Patrick Sheehan,70.6,3883,55
T82,T82,Nate Smith,70.63,3955,56
T82,T82,Tjaart van der Walt,70.63,2825,40
T84,T84,Gary Christian,70.64,3179,45
T84,T84,Brad Elder,70.64,3532,50
T84,T84,Dicky Pride,70.64,3108,44
T84,T84,Casey Wittenberg,70.64,3885,55
