*2010,,,,
1, -,Lee Westwood,11,"$3,399,954"
2, -,Martin Kaymer,10,"$1,762,793"
3, -,Louis Oosthuizen,5,"$1,305,593"
4, -,Robert Karlsson,11,"$853,170"
5, -,Gregory Havret,2,"$810,000"
6, -,Charl Schwartzel,11,"$676,845"
7, -,Edoardo Molinari,8,"$636,518"
8, -,Francesco Molinari,8,"$358,196"
9, -,Bob Heintz,3,"$355,047"
10, -,WC Liang,4,"$245,436"
11, -,Alvaro Quiros,9,"$232,464"
12, -,Ken Duke,5,"$220,777"
13, -,Miguel A. Jimenez,7,"$213,000"
14, -,Robert Rock,1,"$186,239"
15, -,Peter Hanson,7,"$179,075"
16, -,Simon Dyson,8,"$171,071"
17, -,Tim Wilkinson,15,"$160,706"
18, -,Soren Kjeldsen,7,"$158,989"
19, -,Stephen Gallacher,2,"$149,245"
20, -,Ryo Ishikawa,10,"$149,180"
21, -,Thongchai Jaidee,8,"$98,685"
22, -,Yuta Ikeda,11,"$98,463"
23, -,Gary Woodland,8,"$95,815"
24, -,Sam Saunders,7,"$95,226"
25, -,Oliver Wilson,9,"$90,722"
26, -,Ignacio Garrido,1,"$87,840"
27, -,Seung-yul Noh,5,"$81,422"
28, -,Simon Khan,4,"$77,646"
29, -,Erik Compton,7,"$77,245"
30, -,Mike Small,8,"$69,665"
31, -,Ross Fisher,10,"$66,582"
32, -,Alejandro Canizares,2,"$55,956"
33, -,Chris Kirk,1,"$54,480"
34, -,Ross McGowan,6,"$48,722"
T35, -,Bradley Dredge,1,"$48,000"
T35, -,Marcel Siem,1,"$48,000"
37, -,David Horsey,2,"$46,700"
38, -,Jamie Lovemark,4,"$45,400"
T39, -,Kevin Chappell,2,"$44,000"
T39, -,John Ellis,1,"$44,000"
41, -,Darren Clarke,2,"$43,275"
42, -,Kyle Stanley,3,"$43,090"
43, -,Steve Allan,2,"$42,000"
44, -,Kyung-tae Kim,2,"$38,102"
45, -,Gonzalo Fdez-Castano,3,"$37,133"
46, -,Brandt Jobe,1,"$35,317"
47, -,Bobby Gates,2,"$34,722"
48, -,Toru Taniguchi,2,"$34,720"
T49, -,Shane Lowry,2,"$33,792"
T49, -,Colm Moriarty,1,"$33,792"
51, -,Ben Fox,3,"$33,540"
52, -,Fredrik Andersson Hed,2,"$31,843"
53, -,Todd Fischer,1,"$31,200"
54, -,Colin Montgomerie,3,"$30,978"
55, -,Rhys Davies,4,"$28,762"
56, -,Tag Ridings,1,"$28,594"
57, -,Jhonattan Vegas,1,"$26,483"
58, -,Michael Putnam,1,"$23,850"
T59, -,Jason Allred,1,"$23,385"
T59, -,Rafael Cabrera Bello,1,"$23,385"
T59, -,Jim Herman,1,"$23,385"
T62, -,Rob Grube,1,"$19,890"
T62, -,Adam Hadwin,1,"$19,890"
T62, -,Brock Mackenzie,1,"$19,890"
T65, -,Danny Chia,1,"$19,046"
T65, -,Zane Scotland,1,"$19,046"
67, -,Michael O'Neal,2,"$18,424"
68, -,Hiroyuki Fujita,4,"$18,368"
69, -,Peter Senior,1,"$18,048"
70, -,Drew Weaver,2,"$17,366"
T71, -,Hirofumi Miyase,1,"$17,126"
T71, -,Steven Tiley,1,"$17,126"
73, -,Andrew Coltart,1,"$16,742"
74, -,Gareth Maybin,2,"$16,672"
75, -,Thomas Aiken,1,"$16,358"
76, -,Erick Justesen,2,"$15,651"
77, -,Gregory Bourdy,2,"$15,225"
78, -,Danny Wax,1,"$14,450"
79, -,Rob Labritz,1,"$14,150"
80, -,Jason Schultz,1,"$13,845"
81, -,Jeff Burns,1,"$13,237"
82, -,Matthew Richardson,1,"$13,023"
T83, -,Thomas Levet,2,"$12,960"
T83, -,Santiago Luna,1,"$12,960"
85, -,Jon Mills,1,"$12,818"
86, -,"Jerry Richardson, Jr.",1,"$12,725"
87, -,Phil Schmitt,2,"$12,544"
88, -,Ty Tryon,1,"$12,293"
89, -,Brad Adamonis,4,"$12,060"
90, -,Alexandre Rocha,1,"$12,040"
T91, -,Pablo Martin,2,"$11,707"
T91, -,Jason Preeo,1,"$11,707"
93, -,Chris Rogers,2,"$11,704"
94, -,Casey Wittenberg,1,"$11,200"
95, -,Ryuichi Oda,2,"$11,165"
96, -,Alex Hamilton,2,"$10,836"
97, -,Seung-su Han,1,"$10,812"
98, -,Aaron Goldberg,3,"$10,615"
99, -,Andrew Svoboda,1,"$10,556"
100, -,Mark Anderson,1,"$10,203"
101, -,Kevin Hayashi,1,"$9,900"
102, -,Blake Trimble,1,"$9,752"
T103, -,Daniel Barbetti,1,"$9,481"
T103, -,Peter Gustafsson,1,"$9,481"
T103, -,Manuel Villegas,2,"$9,481"
106, -,Billy Hurley III,1,"$8,560"
107, -,Warren Schutte,1,"$8,471"
108, -,Matt Hill,5,"$7,305"
*2009,,,,
1,1,Henrik Stenson,10,"$2,550,185"
2,2,Lee Westwood,8,"$1,085,414"
3,3,Rory McIlroy,11,"$849,719"
4,4,Graeme McDowell,11,"$645,516"
5,5,Ross Fisher,10,"$544,547"
6,6,Martin Kaymer,11,"$454,657"
7,7,Soren Hansen,8,"$432,644"
8,8,Chris Wood,2,"$428,442"
9,9,Jeev M. Singh,15,"$378,686"
10,10,Shingo Katayama,6,"$360,000"
11,11,Danny Lee,12,"$359,846"
12,12,Francesco Molinari,4,"$304,368"
13,13,Soren Kjeldsen,7,"$280,919"
14,14,Oliver Wilson,9,"$229,273"
15,15,Kevin Chappell,3,"$197,488"
16,16,Peter Hanson,5,"$159,459"
17,17,Miguel A. Jimenez,8,"$148,099"
18,18,Thomas Aiken,3,"$147,172"
19,19,Todd Fischer,3,"$136,701"
20,23,Kyle Stanley,7,"$132,039"
21,20,Robert Karlsson,6,"$130,237"
22,21,Chris Baryla,3,"$123,038"
23,22,Thongchai Jaidee,4,"$114,601"
24, -,Rickie Fowler,4,"$113,700"
25,24,Thomas Levet,3,"$80,755"
26,25,Charl Schwartzel,6,"$76,741"
27,26,Johan Edfors,3,"$74,336"
28,27,Jose Manuel Lara,2,"$72,000"
29,28,Azuma Yano,4,"$71,485"
30,29,Gonzalo Fernandez,5,"$70,617"
31,30,Richard Sterne,8,"$66,518"
32,31,Alvaro Quiros,9,"$65,579"
33,32,Tadd Fujikawa,4,"$61,892"
34,33,Derek Lamely,2,"$58,188"
35,34,Brendan Jones,2,"$53,113"
T36,T35,James Kingston,2,"$47,794"
T36,T35,Kenichi Kuboya,1,"$47,794"
38,37,Darren Clarke,7,"$34,479"
39,38,Nick Dougherty,3,"$31,176"
40,39,Erik Compton,4,"$27,524"
41,40,Ryo Ishikawa,6,"$26,217"
T42,T41,Branden Grace,1,"$25,539"
T42,T41,Paul McGinley,2,"$25,539"
T42,T41,Anthony Wall,2,"$25,539"
45,44,Martin Piller,1,"$22,570"
T46,T45,Jean-Francois Lucquin,1,"$22,501"
T46,T45,Andrew McLardy,2,"$22,501"
48,47,Hideto Tanihara,1,"$21,600"
49,48,Paul Lawrie,1,"$21,571"
T50,T49,Jeff Brehaut,1,"$20,630"
T50,T49,Trevor Murphy,1,"$20,630"
52,51,Vance Veazey,1,"$19,600"
T53,T52,David Howell,1,"$18,295"
T53,T52,Graeme Storm,1,"$18,295"
T55,T54,Paul Broadhurst,1,"$17,013"
T55,T54,David Drysdale,1,"$17,013"
57,56,Fredrik Andersson,1,"$16,199"
58,57,Hiroyuki Fujita,1,"$15,525"
59,58,Robert Gates,1,"$15,177"
60,59,Daniel Gaunt,1,"$15,140"
61,60,Richard Green,2,"$15,000"
62,61,Steve Wheatcroft,1,"$14,907"
63,62,Alan Wagner,1,"$14,700"
64,63,Jose de Jesus Rodriguez,1,"$14,400"
65,64,David Smail,3,"$14,050"
T66,T65,Graham Delaet,1,"$13,872"
T66,T65,Jamie Lovemark,3,"$13,872"
68,67,Gregory Bisconti,1,"$13,600"
69,68,,1,"$13,300"
70,69,Alastair Forsyth,1,"$13,100"
71,70,Louis Oosthuizen,6,"$12,660"
72,71,Luke List,1,"$12,600"
73,72,Matt Harmon,1,"$11,893"
74,73,Matthew Loving,1,"$11,712"
T75,T74,John Ellis,1,"$11,651"
T75,T74,Chris Kirk,2,"$11,651"
77,76,Fernando Mechereffe,1,"$11,271"
78,77,Mike Grob,1,"$11,118"
79,78,Andres Gonzales,1,"$10,965"
80,79,Rich Barcelo,1,"$10,500"
81,80,Lucas Lee,1,"$10,251"
82,81,Jyunpei Takayama,1,"$9,936"
83,82,,2,"$9,434"
T84,T83,Felipe Aguilar,1,"$9,364"
T84,T83,Estanislao Goya,1,"$9,364"
T84,T83,Manuel Villegas,1,"$9,364"
87,86,Andrew Ruthkoski,2,"$8,428"
88,87,Andy Matthews,1,"$7,700"
89,88,Ryan Helminen,1,"$7,360"
T90,T89,Esteban Toledo,2,"$7,344"
T90,T89,James Vargas,1,"$7,344"
*2008,,,,
1, -,Henrik Stenson,9,"$1,238,118"
2, -,Robert Karlsson,8,"$812,185"
3, -,Miguel A. Jimenez,8,"$486,446"
4, -,Jeev M. Singh,5,"$252,849"
5, -,Niclas Fasth,10,"$210,565"
6, -,Alastair Forsyth,2,"$194,416"
7, -,David Howell,3,"$193,743"
8, -,Graeme McDowell,4,"$182,545"
9, -,Casey Wittenberg,4,"$167,520"
10, -,Liang Wen-chong,6,"$146,728"
11, -,Richard Sterne,8,"$137,419"
12, -,D.A. Points,3,"$126,918"
13, -,Esteban Toledo,3,"$111,305"
14, -,Prayad Marksaeng,4,"$107,060"
15, -,Anders Hansen,6,"$105,725"
16, -,Richard Green,9,"$92,960"
T17, -,Gregory Havret,2,"$75,485"
T17, -,Alexander Noren,1,"$75,485"
T17, -,Jean Van De Velde,1,"$75,485"
T17, -,Simon Wakefield,1,"$75,485"
T17, -,,1,"$75,485"
22, -,Soren Hansen,9,"$70,466"
23, -,Pablo Martin Benavide,3,"$60,143"
24, -,Nick Dougherty,8,"$60,062"
25, -,,3,"$57,000"
26, -,Ryan Blaum,1,"$54,250"
27, -,Michael Campbell,6,"$48,054"
28, -,,1,"$48,000"
29, -,Chip Sullivan,6,"$45,559"
30, -,Alvaro Quiros,2,"$45,066"
31, -,Tom Gillis,3,"$38,915"
32, -,Webb Simpson,6,"$38,460"
33, -,,3,"$37,724"
34, -,Martin Kaymer,8,"$37,638"
35, -,Peter Hanson,4,"$37,534"
T36, -,Robert Dinwiddie,1,"$35,709"
T36, -,Oliver Wilson,4,"$35,709"
T38, -,Thomas Aiken,1,"$33,267"
T38, -,Gregory Bourdy,1,"$33,267"
T38, -,Ariel Canete,1,"$33,267"
T38, -,Ross Fisher,6,"$33,267"
T38, -,Simon Khan,1,"$33,267"
T38, -,Graeme Storm,3,"$33,267"
44, -,,4,"$32,625"
45, -,Ian Woosnam,1,"$26,250"
46, -,,1,"$25,143"
47, -,Jarrod Lyle,1,"$23,985"
48, -,Anthony Wall,1,"$23,554"
49, -,Diego Vanegas,1,"$22,775"
T50, -,Richard Finch,2,"$21,284"
T50, -,Colin Montgomerie,7,"$21,284"
52, -,Yusaku Miyazato,1,"$20,670"
53, -,Jonathan Lomas,1,"$20,385"
54, -,Jhonnathan Vegas,1,"$19,828"
T55, -,Jean Baptiste Gonnet,1,"$19,785"
T55, -,,1,"$19,785"
T57, -,Brendan Jones,5,"$18,686"
T57, -,Pablo Larrazabal,3,"$18,686"
T57, -,Jose Filipe Lima,1,"$18,686"
T57, -,Martin Wiegele,1,"$18,686"
61, -,Philip Archer,2,"$17,187"
62, -,Chih-Bing Lam,1,"$16,787"
63, -,Charl Schwartzel,1,"$16,250"
64, -,,5,"$16,129"
65, -,Toru Taniguchi,7,"$16,120"
66, -,James Kingston,5,"$15,750"
67, -,Spencer Levin,1,"$15,518"
68, -,Robert Floyd,3,"$15,264"
69, -,Stuart Deane,2,"$15,214"
T70, -,Andrew Dresser,1,"$15,189"
T70, -,Andrew Svoboda,1,"$15,189"
72, -,Justin Hicks,1,"$14,306"
73, -,Hiroyuki Fujita,1,"$14,150"
74, -,,1,"$13,718"
75, -,Louis Oosthuizen,3,"$13,700"
76, -,Bubba Dickerson,1,"$13,640"
77, -,Jonathan Moore,2,"$12,265"
78, -,Peter Karmis,1,"$11,940"
79, -,Kiyoshi Miyazato,1,"$11,925"
80, -,Mitsuhiro Tateyama,1,"$11,448"
81, -,Anton Haig,2,"$11,280"
82, -,John Douma,1,"$11,150"
83, -,David Hearn,2,"$11,100"
84, -,Pete Jordan,1,"$10,725"
85, -,Bryan Decorso,1,"$10,600"
86, -,Alan Morin,2,"$10,505"
87, -,Derek Lamely,1,"$10,494"
88, -,Chip Deason,1,"$10,350"
89, -,Reid Edstrom,1,"$10,340"
90, -,Erik Compton,1,"$10,074"
91, -,Keiichiro Fukabori,1,"$9,805"
92, -,Deane Pappas,3,"$9,573"
93, -,Rod Perry,1,"$9,154"
94, -,Dustin Risdon,1,"$9,100"
95, -,Michael Ruiz,1,"$8,692"
96, -,Jon Turcott,2,"$8,360"
97, -,Scott Piercy,2,"$7,630"
98, -,Casey Bourque,1,"$7,462"
99, -,Miguel Suarez,1,"$7,350"
100, -,Wilfredo Morales,1,"$6,545"
*2007,,,,
1, -,Jay Williamson,14,"$835,515"
2, -,Andres Romero,3,"$596,414"
3, -,Paul Casey,10,"$553,270"
4, -,Richard Green,5,"$446,070"
5, -,Robert Karlsson,13,"$424,870"
6, -,Niclas Fasth,10,"$404,655"
7, -,Nick Dougherty,3,"$227,922"
8, -,Simon Dyson,1,"$227,500"
9, -,Paul McGinley,5,"$144,152"
10, -,Miguel A. Jimenez,5,"$142,991"
T11, -,Markus Brier,2,"$120,458"
T11, -,Paul Broadhurst,2,"$120,458"
T11, -,Pelle Edberg,1,"$120,458"
14, -,Peter Hanson,3,"$116,159"
15, -,Alejandro Canizares,3,"$111,900"
16, -,Todd Fischer,4,"$92,000"
17, -,Jeev Milkha Singh,12,"$79,179"
18, -,Charl Schwartzel,6,"$77,803"
19, -,Shingo Katayama,7,"$74,928"
20, -,Y.E. Yang,9,"$53,480"
21, -,Graeme McDowell,3,"$52,768"
22, -,Andy Bare,1,"$52,143"
23, -,Johan Edfors,8,"$51,005"
24, -,Pablo Martin,6,"$45,313"
25, -,Kyle Thompson,1,"$42,900"
26, -,Mark B. Foster,1,"$41,352"
27, -,Michael Campbell,9,"$39,582"
28, -,Thomas Bjorn,6,"$37,044"
29, -,Colin Montgomerie,9,"$35,989"
30, -,Kenneth Ferrie,2,"$31,084"
31, -,Franklin Langham,1,"$30,720"
32, -,Ross Bain,1,"$29,821"
33, -,Colt Knost,4,"$27,483"
34, -,Won Joon Lee,1,"$26,736"
35, -,Fabrizio Zanotti,1,"$25,900"
36, -,Marcus Fraser,1,"$25,016"
37, -,Gregory Bourdy,1,"$23,394"
38, -,Bradley Dredge,4,"$22,533"
39, -,Toru Taniguchi,4,"$21,594"
40, -,Jon Bevan,1,"$21,080"
41, -,Raphael Jacquelin,3,"$20,669"
42, -,Alastair Forsyth,1,"$20,258"
43, -,Fredrik Andersson,1,"$19,846"
44, -,Andrew Ruthkoski,2,"$19,112"
45, -,Kaname Yokoo,2,"$16,640"
46, -,Kelly Mitchum,4,"$16,326"
47, -,Graeme Storm,3,"$13,650"
48, -,Yusaku Miyazato,1,"$13,537"
49, -,Mike Small,2,"$13,050"
50, -,Ryan Benzel,1,"$12,900"
51, -,Ricky Barnes,2,"$12,540"
52, -,Matt Every,2,"$12,420"
53, -,Todd Demsey,1,"$12,411"
54, -,Esteban Toledo,2,"$12,250"
55, -,Bill Lunde,1,"$12,093"
56, -,Martin Rominger,1,"$11,163"
T57, -,Tom Gillis,3,"$11,152"
T57, -,Lee Williams,2,"$11,152"
59, -,Alan Morin,1,"$11,000"
T60, -,Joe Daley,2,"$10,920"
T60, -,Azuma Yano,1,"$10,920"
62, -,David Hearn,1,"$10,850"
63, -,Mike Grob,1,"$10,200"
64, -,Chris Baryla,1,"$9,800"
65, -,Brady Schnell,1,"$9,102"
66, -,Ryan Blaum,1,"$8,800"
67, -,Bronson La'Cassie,1,"$8,692"
68, -,Tony Finau,1,"$7,960"
69, -,Paul Trittler,1,"$7,640"
70, -,Oliver Thomson,2,"$7,630"
71, -,Andres Gonzales,1,"$7,120"
*2006,,,,
1, -,Angel Cabrera,12,"$623,504"
2, -,Henrik Stenson,10,"$582,303"
3, -,Colin Montgomerie,8,"$501,249"
4, -,Anthony Kim,2,"$338,067"
5, -,Miguel A. Jimenez,8,"$334,011"
6, -,Michael Campbell,10,"$323,983"
7, -,Hideto Tanihara,2,"$310,831"
8, -,Paul Casey,8,"$209,401"
9, -,Kenneth Ferrie,3,"$183,255"
10, -,Andres Romero,2,"$177,225"
11, -,Jason Day,7,"$174,508"
12, -,Ken Duke,2,"$138,231"
13, -,Scott Piercy,6,"$132,042"
14, -,Paul McGinley,9,"$130,734"
T15, -,S.K. Ho,2,"$128,891"
T15, -,Anthony Wall,3,"$128,891"
17, -,Robert Karlsson,5,"$118,283"
18, -,Charl Schwartzel,8,"$108,282"
19, -,Thomas Bjorn,7,"$104,773"
T20, -,Mikko Ilonen,1,"$83,655"
T20, -,Robert Rock,1,"$83,655"
T20, -,Brett Rumford,1,"$83,655"
