*2010,1/3/2011,,,,
1, -,Joe Durant,69.48,2779,40
2, -,Matt Kuchar,69.5,3614,52
3, -,Charley Hoffman,69.53,3546,51
4, -,Steve Stricker,69.64,2507,36
5, -,Spencer Levin,69.71,4392,63
6, -,Chris DiMarco,69.72,3486,50
7, -,Charlie Wi,69.75,3836,55
8, -,Dustin Johnson,69.76,3139,45
9, -,Phil Mickelson,69.8,2862,41
10, -,Retief Goosen,69.84,2584,37
11, -,Steve Elkington,69.87,3214,46
12, -,Dean Wilson,69.89,2516,36
13, -,J.B. Holmes,69.94,3707,53
T14, -,Tom Pernice jr.,69.96,3148,45
T14, -,Justin Rose,69.96,3218,46
T16, -,K.J. Choi,69.98,3149,45
T16, -,Charles Howell III,69.98,4059,58
T16, -,Ryuji Imada,69.98,4129,59
19, -,Paul Casey,70,2240,32
20, -,Bo Van Pelt,70.02,4131,59
T21, -,Jason Day,70.06,3293,47
T21, -,Paul Stankowski,70.06,2522,36
23, -,Matt Jones,70.07,3994,57
24, -,Kevin Sutherland,70.08,3714,53
25, -,Tim Clark,70.1,3435,49
26, -,D.J. Trahan,70.11,3996,57
27, -,David Toms,70.12,3506,50
T28, -,Chad Campbell,70.13,3857,55
T28, -,Kevin Na,70.13,3717,53
T28, -,Jeff Overton,70.13,3787,54
31, -,Brendon de Jonge,70.15,4700,67
T32, -,Tom Gillis,70.16,3999,57
T32, -,Garrett Willis,70.16,3578,51
34, -,Bubba Watson,70.17,3228,46
35, -,Pat Perez,70.18,3930,56
T36, -,Jonathan Byrd,70.19,3720,53
T36, -,Chad Collins,70.19,3790,54
T36, -,Bill Haas,70.19,3650,52
T36, -,J.P. Hayes,70.19,3720,53
40, -,Greg Chalmers,70.21,4002,57
T41, -,Robert Allenby,70.23,2809,40
T41, -,Zach Johnson,70.23,3371,48
43, -,Shaun Micheel,70.24,2950,42
T44, -,Carl Pettersson,70.25,4215,60
T44, -,Brett Quigley,70.25,4215,60
T44, -,Brandt Snedeker,70.25,3864,55
47, -,Luke Donald,70.26,2740,39
T48, -,Ricky Barnes,70.29,4147,59
T48, -,Jim Furyk,70.29,2882,41
50, -,John Senden,70.3,4429,63
T51, -,Matt Every,70.31,2742,39
T51, -,Jay Williamson,70.31,3586,51
T53, -,Graham DeLaet,70.32,4149,59
T53, -,Bryce Molder,70.32,3727,53
T53, -,Heath Slocum,70.32,3727,53
56, -,John Merrick,70.33,4501,64
57, -,Aron Price,70.34,3095,44
58, -,Rickie Fowler,70.39,4153,59
T59, -,Michael Connell,70.41,3591,51
T59, -,Kevin Streelman,70.41,4084,58
T61, -,Fredrik Jacobson,70.46,3523,50
T61, -,Boo Weekley,70.46,3946,56
T63, -,Ben Crane,70.47,3312,47
T63, -,Tim Herron,70.47,3453,49
T65, -,Brian Gay,70.48,4299,61
T65, -,Ryan Moore,70.48,3383,48
67, -,Chris Riley,70.49,3454,49
68, -,Andres Romero,70.5,2961,42
T69, -,Briny Baird,70.51,4019,57
T69, -,Alex Prugh,70.51,4160,59
T71, -,Aaron Baddeley,70.53,3738,53
T71, -,Ernie Els,70.53,2680,38
T71, -,Lee Janzen,70.53,3879,55
T71, -,Michael Letzig,70.53,3738,53
T71, -,Hunter Mahan,70.53,3456,49
T71, -,Jeev Milkha Singh,70.53,2539,36
