Matt Kuchar,2002,24,71.0,71.04,27,9
Dean Wilson,2003,34,71.16,71.2,27,8
Paul Stankowski,1994,25,71.66,71.53,29,13
Justin Rose,2004,24,70.63,70.42,22,6
Paul Casey,2008,31,71.75,70.31,16,2
Retief Goosen,2002,34,70.13,69.69,15,9
Charles Howell III,2001,22,69.59,69.91,0,10
Kevin Na,2004,21,70.91,71.21,32,6
Bo Van Pelt,1999,25,73.36,73.29,28,12
Tom Gillis,2003,35,71.04,71.33,25,5
Fredrik Jacobson,2004,30,70.81,70.71,24,7
J.B. Holmes,2006,25,71.44,71.22,26,5
Webb Simpson,2009,24,70.88,70.98,30,2
Luke Donald,2002,25,70.66,70.64,30,8
Greg Chalmers,1999,26,71.21,71.15,34,12
Carl Pettersson,2003,26,71.23,71.16,26,8
Phil Mickelson,1993,23,71.64,71.2,24,18
Jeff Overton,2006,23,70.98,71.11,28,5
Jeev Milkha Singh,2010,39,70.34,70.63,19,1
Rickie Fowler,2010,22,70.35,70.43,28,1
Bryce Molder,2002,24,71.14,71.35,0,9
Ernie Els,1995,26,70.53,69.81,18,15
John Senden,2002,32,70.55,70.84,30,9
K.J. Choi,2000,31,71.19,71.54,30,11
Brett Wetterich,2002,29,72.06,72.33,32,7
Dustin Johnson,2009,25,70.48,70.41,25,2
Kevin Streelman,2008,30,70.63,70.61,32,3
Boo Weekley,2002,27,72.16,72.47,24,9
J.P. Hayes,1992,27,72.16,72.28,27,18
Robert Allenby,1999,28,71.18,71.09,27,12
Scott McCarron,1995,30,71.48,71.59,25,14
Charles Warren,1999,24,72.93,72.7,26,11
Justin Leonard,1995,23,70.45,70.23,31,16
Jay Williamson,1995,29,72.0,72.08,22,15
Hunter Mahan,2004,23,71.38,71.31,30,7
Chris Stroud,2007,26,71.27,71.22,24,4
Ryan Moore,2006,24,71.03,71.01,22,5
Michael Bradley,1993,27,72.06,71.67,26,9
Vijay Singh,1994,32,71.43,71.01,21,17
Will MacKenzie,2005,31,71.62,71.93,25,6
Bob Estes,1989,24,71.45,71.46,27,22
Andres Romero,2008,28,71.85,70.82,20,3
Padraig Harrington,2005,34,71.52,70.84,15,6
Sean O'Hair,2005,23,70.85,70.61,29,6
Geoff Ogilvy,2001,24,71.58,71.8,23,10
Lee Janzen,1990,26,71.25,70.84,30,21
James Nitties,2009,27,70.67,70.61,27,2
Adam Scott,2003,23,71.61,70.33,14,8
Rory McIlroy,2010,22,70.94,70.35,16,1
Ben Curtis,2003,26,71.83,71.37,21,8
Billy Mayfair,1989,23,71.53,71.02,33,22
Brian Davis,2005,31,71.07,71.01,23,6
Cameron Tringale,2010,23,71.15,71.6,22,1
Angel Cabrera,2008,39,71.94,71.08,17,3
Rory Sabbatini,1999,24,72.01,72.01,27,12
Y.E. Yang,2009,38,70.72,70.46,23,2
Henrik Bjornstad,2006,28,71.51,71.61,31,5
Alex Cejka,2003,33,70.8,70.62,30,8
Mathias Gronberg,2004,35,71.7,71.76,32,6
Trevor Immelman,2006,27,69.93,69.51,24,4
Martin Flores,2010,29,71.39,71.88,26,1
