Steve Stricker
Joe Durant
Steve Elkington
Kevin Sutherland
David Toms
Jim Furyk
Phil Mickelson
Chris DiMarco
Tom Pernice jr
Stephen Ames
J.P. Hayes
Justin Leonard
Woody Austin
Brett Quigley
Vijay Singh
Bob Estes
Jerry Kelly
Lee Janzen
Davis Love III
Kenny Perry
Tim Herron
Billy Mayfair
Scott Verplank
Rocco Mediate
Jeff Maggert
Skip Kendall
Omar Uresti
Stuart Appleby
John Daly
Paul Goydos
Steve Lowery
Jeff Gove
Mark Calcavecchia
Brad Faxon
Greg Kraft
Corey Pavin
Michael Allen
Fred Couples
Glen Day
Tommy Armour III
Kirk Triplett
Mark Brooks
Tom Lehman
Bob Tway
John Huston
Dudley Hart
Marco Dawson
Jim McGovern
Robert Gamez
Paul Claxton
Olin Browne
Billy Andrade
Dicky Pride
Fred Funk
Duffy Waldorf
Joey Sindelar
Jeff Brehaut
Tom Byrum
Jeff Sluman
Paul Azinger
John Cook
Steve Jones
Larry Mize
Mark O'Meara
Len Mattiace
Loren Roberts
Dan Forsman
Neal Lancaster
Andrew Magee
Bill Glasson
Jay Haas
Danny Briggs
Jim Carter
Scott Hoch
David Peoples
Nick Price
Russ Cochran
Jay Delsing
Steve Pate
Scott Simpson
David Frost
Tommy Tolles
Esteban Toledo
Gene Sauers
Grant Waite
Blaine McCallister
Guy Boros
Hal Sutton
Peter Jacobsen
Donnie Hammond
Jay Don Blake
Joel Edwards
Craig Stadler
Robin Freeman
Mike Hulbert
Willie Wood
Chris Perry
Ronnie Black
Ben Bates
Mark Wiebe
Mike Reid
Rick Fehr
Tom Purtzer
Scott Gump
Brad Fabel
Chip Beck
Payne Stewart
David Ogrin
D.A. Weibring
Larry Rinker
Clarence Rose
Tom Kite
Fuzzy Zoeller
Lanny Wadkins
Gary Hallberg
Don Pooley
Dave Barr
David Edwards
Bobby Wadkins
Curtis Strange
Bob Gilder
Lennie Clements
John Adams
Wayne Levi
Tom Watson
Ken Green
Tim Simpson
Howard Twitty
Ed Fiori
Gil Morgan
Mark McCumber
Mike Sullivan
Curt Byrum
Ben Crenshaw
John Mahaffey
Bruce Lietzke
Doug Tewell
Morris Hatalsky
Mike Donald
Buddy Gardner
