Matt Kuchar,26
Dean Wilson,35
Steve Stricker,38
Joe Durant,41
Justin Rose,24
Retief Goosen,36
Charles Howell III,25
Steve Elkington,42
Kevin Na,21
Pat Perez,29
Chris Riley,31
Bo Van Pelt,30
Jonathan Byrd,27
Kevin Sutherland,40
Fredrik Jacobson,30
David Toms,38
Luke Donald,27
Briny Baird,33
Greg Chalmers,31
Ben Crane,29
Tim Clark,29
Carl Pettersson,27
Phil Mickelson,34
Chris Couch,32
Chris DiMarco,36
Ernie Els,35
John Senden,34
K.J. Choi,35
John Rollins,29
Chad Campbell,30
J.J. Henry,30
Brian Gay,33
Stephen Ames,41
J.P. Hayes,39
Robert Allenby,33
Scott McCarron,39
Heath Slocum,31
Stewart Cink,32
Ryan Palmer,28
Vaughn Taylor,29
Shaun Micheel,36
Zach Johnson,29
Aaron Baddeley,24
Justin Leonard,32
Jay Williamson,38
Mark Wilson,30
Jason Bohn,32
Hunter Mahan,23
Woody Austin,41
Brett Quigley,35
Vijay Singh,42
Tim Petrovic,38
Bob Estes,39
Jerry Kelly,38
Geoff Ogilvy,27
Lee Janzen,40
Davis Love III,41
Adam Scott,24
Kenny Perry,44
Tim Herron,35
Joe Ogilvie,31
Ben Curtis,27
Billy Mayfair,38
Lucas Glover,25
Cliff Kresge,36
Scott Verplank,40
Cameron Beckman,35
Rocco Mediate,42
Jeff Maggert,41
Skip Kendall,40
Omar Uresti,36
Stuart Appleby,34
Rory Sabbatini,29
Rod Pampling,35
John Daly,39
Jason Dufner,28
Brenden Pappas,35
Alex Cejka,34
Mathias Gronberg,35
Roger Tambellini,30
Roland Thatcher,28
Sergio Garcia,25
Steve Flesch,37
Ted Purdy,31
Rich Barcelo,29
Mike Weir,35
Daniel Chopra,31
Steve Lowery,44
Craig Bowden,36
Mark Calcavecchia,44
Brad Faxon,43
Tiger Woods,29
Harrison Frazar,33
Tag Ridings,30
Corey Pavin,45
Patrick Sheehan,35
Michael Allen,46
Fred Couples,45
Rich Beem,34
Glen Day,39
Tommy Armour III,45
Kirk Triplett,43
Mark Brooks,44
Jonathan Kaye,34
Ken Duke,36
Bart Bryant,42
Kent Jones,38
Peter Lonard,37
Todd Hamilton,39
Tom Lehman,46
Brian Bateman,32
Bob Tway,46
John Huston,43
Dudley Hart,36
John Riegger,41
Carlos Franco,39
Frank Lickliter II,35
Jesper Parnevik,40
Steve Allan,31
Robert Gamez,36
Shigeki Maruyama,35
Olin Browne,46
Mark Hensby,32
Billy Andrade,41
Stephen Leaney,36
Arron Oberholser,30
Jose Coceres,41
Craig Barlow,32
Dicky Pride,35
Fred Funk,48
Duffy Waldorf,42
Tripp Isenhour,37
D.J. Brigman,29
Joey Sindelar,47
Jeff Brehaut,41
Tom Byrum,44
David Branshaw,35
Jeff Sluman,47
Jose Maria Olazabal,39
Brent Geiberger,36
Paul Azinger,45
John Cook,47
Bernhard Langer,47
Kris Cox,31
Arjun Atwal,32
Chris Smith,36
Todd Fischer,35
Robert Damron,32
Danny Ellis,34
J.L. Lewis,44
Mark O'Meara,48
Len Mattiace,37
Hidemichi Tanaka,34
Loren Roberts,49
Dan Forsman,46
Neal Lancaster,42
Matt Gogel,34
Jay Haas,51
Hank Kuehne,29
Danny Briggs,44
Dennis Paulson,42
Craig Perks,38
Darren Clarke,36
Scott Hoch,49
David Peoples,45
Notah Begay III,32
Nick Price,48
Deane Pappas,37
Russ Cochran,46
Bob Burns,37
Pat Bates,35
Jay Delsing,44
Steve Pate,43
Scott Simpson,49
David Frost,45
Spike McRoy,37
Tom Carter,37
Tommy Tolles,38
Mike Heinen,38
Esteban Toledo,42
Craig Parry,39
Gene Sauers,42
Grant Waite,40
Blaine McCallister,46
Dan Olsen,38
Niclas Fasth,33
Andre Stolz,35
David Morland IV,36
Guy Boros,40
Hirofumi Miyase,34
Kevin Muncrief,28
David Gossett,26
